,correlation_with_wins
NET_RATING,0.8014116556214461
PLUS_MINUS,0.7995564463555004
OFF_RATING,0.6668127058475409
TS_PCT,0.3398755831392784
EFG_PCT,0.339530423995686
PIE,0.2647731458101013
FG_PCT,0.22293973837272513
STL,0.14033042243420904
PTS,0.13551063831231835
FG3_PCT,0.12532727926811152
REB,0.11966569724783825
AST_TO,0.11905471310555515
BLK,0.10805756067861469
REB_PCT,0.09251389615375663
AST,0.08754618573904185
DREB_PCT,0.07465330939054889
OREB_PCT,0.05187015425192315
USG_PCT,0.04841027256101662
FT_PCT,0.02412914778967371
AST_PCT,0.010898751698942867
TOV,-0.004771565483594297
DEF_RATING,-0.5332244869942331 
