Player Name,Team,Season,Archetype,Composite Score,Salary,Value Per Dollar (VORPD),Offensive Rating (Adjusted),Defensive Rating (Adjusted),ON/OFF Differential,Influence Score,True Shooting %,Blocks Per Game,Steals Per Game,Assist % (Adjusted),Three-Point %,Is Real Shooter,Salary ($M),Rank
Buddy Hield,PHI,2023-24,Bench / Role Player,32.16,8112243.0,1.853,2.329267902813304,-3.6740522040018098,-2.0307909226016982,0.107380377441458,0.57731385721214,0.5,0.8,0.0053283906273506,0.3823441410009625,1,8.11,205
Mikal Bridges,BKN,2022-23,Perimeter Scorer,42.28,19917648.0,1.2751,0.9525910311570528,0.0855620686667965,-1.0957774149591974,0.1304710491785252,0.5850719694104269,0.7,1.1,0.0030231930928936,0.3767483015904926,1,19.92,116
KJ Martin,HOU,2022-23,Bench / Role Player,29.97,1017781.0,12.8574,1.9484198205228147,-1.373598647418401,1.3510487937469875,0.099002590494428,0.6187661905901753,0.4,0.5,-0.0555411626999609,0.3440455120101137,1,1.02,232
Isaiah Hartenstein,NYK,2022-23,Defensive Wing,31.46,22797308.0,0.6394,1.2502454889451733,1.510500672358254,0.9351411661326804,0.0611164100381625,0.5711814022258186,0.8,0.6,-0.0436820464709009,0.3471771969541057,1,22.8,216
Reggie Jackson,DEN,2023-24,Bench / Role Player,29.37,6900000.0,1.7742,-2.0040917710112622,0.7559919136199125,-6.698040894102398,0.1119150104168959,0.5354785187411291,0.1,0.5,0.0644019526413941,0.366278336380256,1,6.9,235
Harrison Barnes,SAC,2022-23,Perimeter Scorer,32.13,15198206.0,1.0031,2.128019531810992,-1.0257360333189722,3.634025781361742,0.1037476369526307,0.6175454580513733,0.1,0.7,-0.0692754559816171,0.37139526001173,1,15.2,206
Domantas Sabonis,SAC,2023-24,Elite Playmaker,46.73,37251419.0,0.7947,1.1103518702223236,-1.7936453288206875,-3.751687661596404,0.1373517234767084,0.6243260158032201,0.6,0.9,0.1590986700759123,0.3755198458023986,1,37.25,81
Payton Pritchard,BOS,2023-24,Perimeter Scorer,38.27,6363558.0,3.3224,2.2380443184746155,-0.0224365345210459,1.4259344434931212,0.0991846842986273,0.5903850255870677,0.1,0.5,0.0584471724273321,0.3806945305237062,1,6.36,148
Jordan Poole,GSW,2022-23,Versatile Scorer,40.24,25475564.0,0.9168,-2.646673596673608,0.7799376299376302,-5.86808381511786,0.1617441075298491,0.5735606649994651,0.3,0.8,0.0631621621621621,0.3452089109417361,1,25.48,133
Paul Reed,PHI,2023-24,Perimeter Scorer,34.17,4695050.0,3.6298,1.7261945188444592,-0.6277070977616244,0.982782258250694,0.0902084570400243,0.5782593400001559,1.0,0.8,-0.0315280155921178,0.3731709199747952,1,4.7,184
