GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,SEASON,PLAYER_A_ID,PLAYER_B_ID,GP,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,OREB_PCT,DREB_PCT,TS_PCT,PACE,PIE
-1626179-1628970-,T. Rozier - M. Bridges,1610612766,CHA,2021-22,1626179,1628970,71,2001.0,113.2,112.0,1.2,0.669,0.259,0.722,0.578,101.15,0.512
-203932-203999-,A. Gordon - N. Jokic,1610612743,DEN,2021-22,203932,203999,69,1999.0,118.4,108.8,9.6,0.69,0.268,0.769,0.615,99.59,0.563
-203095-203944-,E. Fournier - J. Randle,1610612752,NYK,2021-22,203095,203944,70,1985.0,109.7,112.1,-2.4,0.566,0.284,0.744,0.55,98.08,0.476
-1626164-1628969-,D. Booker - M. Bridges,1610612756,PHX,2021-22,1626164,1628969,68,1983.0,118.8,107.5,11.3,0.634,0.246,0.724,0.609,101.24,0.569
-1626220-1628378-,R. O'Neale - D. Mitchell,1610612762,UTA,2021-22,1626220,1628378,65,1961.0,117.6,111.4,6.1,0.551,0.275,0.734,0.603,99.01,0.526
-203932-1628420-,A. Gordon - M. Morris,1610612743,DEN,2021-22,203932,1628420,70,1918.0,117.4,110.4,7.0,0.681,0.258,0.762,0.608,99.0,0.549
-203999-1628420-,N. Jokic - M. Morris,1610612743,DEN,2021-22,203999,1628420,68,1903.0,118.4,108.7,9.7,0.689,0.258,0.768,0.614,99.32,0.563
-1628970-1630163-,M. Bridges - L. Ball,1610612766,CHA,2021-22,1628970,1630163,73,1896.0,113.2,112.2,1.0,0.671,0.256,0.713,0.581,103.15,0.504
-202711-1626220-,B. Bogdanovic - R. O'Neale,1610612762,UTA,2021-22,202711,1626220,66,1895.0,116.0,111.7,4.3,0.564,0.283,0.733,0.596,98.79,0.522
-1626157-1630162-,K. Towns - A. Edwards,1610612750,MIN,2021-22,1626157,1630162,67,1886.0,115.7,111.5,4.2,0.597,0.293,0.715,0.583,101.42,0.506
-202699-1630178-,T. Harris - T. Maxey,1610612755,PHI,2021-22,202699,1630178,66,1882.0,113.9,109.9,4.0,0.594,0.215,0.737,0.585,96.92,0.522
-1627827-1628973-,D. Finney-Smith - J. Brunson,1610612742,DAL,2021-22,1627827,1628973,78,1832.0,116.5,110.0,6.5,0.592,0.254,0.734,0.596,95.21,0.532
-101108-1628969-,C. Paul - M. Bridges,1610612756,PHX,2021-22,101108,1628969,65,1823.0,115.9,105.6,10.3,0.638,0.229,0.728,0.592,100.49,0.568
-1627827-1629029-,D. Finney-Smith - L. Doncic,1610612742,DAL,2021-22,1627827,1629029,64,1818.0,115.0,112.3,2.8,0.568,0.261,0.727,0.591,95.87,0.506
-202699-203954-,T. Harris - J. Embiid,1610612755,PHI,2021-22,202699,203954,64,1795.0,114.8,108.1,6.7,0.602,0.206,0.741,0.593,96.95,0.542
-202696-203897-,N. Vucevic - Z. LaVine,1610612741,CHI,2021-22,202696,203897,59,1792.0,111.6,113.2,-1.6,0.612,0.211,0.744,0.583,99.33,0.498
-203954-1630178-,J. Embiid - T. Maxey,1610612755,PHI,2021-22,203954,1630178,61,1786.0,114.5,107.3,7.2,0.619,0.2,0.734,0.595,97.16,0.54
-203944-1629628-,J. Randle - R. Barrett,1610612752,NYK,2021-22,203944,1629628,61,1782.0,107.9,112.5,-4.5,0.561,0.293,0.745,0.543,98.25,0.467
-203115-203999-,W. Barton - N. Jokic,1610612743,DEN,2021-22,203115,203999,64,1779.0,115.6,109.4,6.2,0.688,0.259,0.76,0.604,100.13,0.543
-203991-1629027-,C. Capela - T. Young,1610612737,ATL,2021-22,203991,1629027,70,1766.0,117.5,114.6,2.8,0.584,0.29,0.746,0.583,100.4,0.51
-203935-1628369-,M. Smart - J. Tatum,1610612738,BOS,2021-22,203935,1628369,67,1766.0,115.3,103.7,11.6,0.605,0.278,0.74,0.591,99.43,0.571
-1627783-1630567-,P. Siakam - S. Barnes,1610612761,TOR,2021-22,1627783,1630567,63,1752.0,110.7,109.0,1.7,0.558,0.306,0.727,0.544,96.63,0.489
-203115-203932-,W. Barton - A. Gordon,1610612743,DEN,2021-22,203115,203932,65,1724.0,115.2,110.3,4.9,0.681,0.256,0.758,0.599,100.04,0.533
-202711-1628378-,B. Bogdanovic - D. Mitchell,1610612762,UTA,2021-22,202711,1628378,58,1718.0,117.7,111.5,6.3,0.551,0.283,0.73,0.603,99.14,0.53
-1627832-1630567-,F. VanVleet - S. Barnes,1610612761,TOR,2021-22,1627832,1630567,60,1716.0,109.6,107.9,1.7,0.556,0.305,0.708,0.546,97.52,0.492
-1628989-1629027-,K. Huerter - T. Young,1610612737,ATL,2021-22,1628989,1629027,71,1712.0,118.1,114.3,3.8,0.591,0.269,0.732,0.595,100.95,0.513
-1627783-1629018-,P. Siakam - G. Trent Jr.,1610612761,TOR,2021-22,1627783,1629018,57,1712.0,115.3,110.6,4.7,0.528,0.307,0.734,0.562,97.7,0.501
-203109-1628969-,J. Crowder - M. Bridges,1610612756,PHX,2021-22,203109,1628969,67,1708.0,116.8,106.5,10.3,0.648,0.212,0.723,0.603,101.43,0.565
-1629018-1630567-,G. Trent Jr. - S. Barnes,1610612761,TOR,2021-22,1629018,1630567,65,1701.0,111.6,109.1,2.4,0.531,0.315,0.71,0.546,98.09,0.495
-203115-1628420-,W. Barton - M. Morris,1610612743,DEN,2021-22,203115,1628420,65,1700.0,115.2,110.5,4.7,0.674,0.25,0.76,0.596,99.22,0.532
-1630180-1630595-,S. Bey - C. Cunningham,1610612765,DET,2021-22,1630180,1630595,64,1686.0,106.0,113.6,-7.6,0.616,0.274,0.714,0.54,99.18,0.449
-201942-202696-,D. DeRozan - N. Vucevic,1610612741,CHI,2021-22,201942,202696,68,1682.0,112.3,112.1,0.2,0.591,0.218,0.74,0.586,100.03,0.501
-203095-1629628-,E. Fournier - R. Barrett,1610612752,NYK,2021-22,203095,1629628,68,1682.0,110.2,114.2,-4.0,0.566,0.285,0.748,0.553,98.39,0.467
-1627749-1629640-,D. Murray - K. Johnson,1610612759,SAS,2021-22,1627749,1629640,64,1657.0,113.6,109.8,3.8,0.638,0.278,0.726,0.562,102.05,0.52
-1627783-1627832-,P. Siakam - F. VanVleet,1610612761,TOR,2021-22,1627783,1627832,53,1645.0,113.8,109.0,4.8,0.557,0.293,0.724,0.562,97.07,0.503
-203084-1628368-,H. Barnes - D. Fox,1610612758,SAC,2021-22,203084,1628368,54,1624.0,112.5,117.1,-4.6,0.56,0.254,0.724,0.577,102.19,0.478
-203484-1628398-,K. Caldwell-Pope - K. Kuzma,1610612764,WAS,2021-22,203484,1628398,63,1612.0,107.7,114.3,-6.6,0.609,0.244,0.711,0.565,99.59,0.479
-1630175-1630532-,C. Anthony - F. Wagner,1610612753,ORL,2021-22,1630175,1630532,64,1605.0,106.6,110.7,-4.1,0.624,0.267,0.749,0.551,100.29,0.483
-1627832-1629018-,F. VanVleet - G. Trent Jr.,1610612761,TOR,2021-22,1627832,1629018,54,1605.0,112.9,108.4,4.5,0.534,0.297,0.715,0.559,98.4,0.502
-1628991-1630217-,J. Jackson Jr. - D. Bane,1610612763,MEM,2021-22,1628991,1630217,74,1603.0,114.1,106.6,7.5,0.592,0.33,0.726,0.556,101.85,0.542
-1628969-1629028-,M. Bridges - D. Ayton,1610612756,PHX,2021-22,1628969,1629028,58,1602.0,117.9,107.7,10.1,0.642,0.204,0.725,0.611,100.79,0.559
-201144-203497-,M. Conley - R. Gobert,1610612762,UTA,2021-22,201144,203497,59,1601.0,113.2,104.0,9.2,0.586,0.305,0.736,0.59,99.75,0.551
-203952-1629673-,A. Wiggins - J. Poole,1610612744,GSW,2021-22,203952,1629673,71,1562.0,113.0,104.1,8.9,0.661,0.277,0.756,0.585,100.01,0.544
