PLAYER_ID,PLAYER_NAME,SEASON,ON_COURT_NET,OFF_COURT_NET,ON_OFF_DIFF,ON_MIN_TOTAL
2544,LeBron James,2021-22,-2,-3.91,1.91,2082
2544,LeBron James,2022-23,4.2,-2.86,7.06,1950
2544,LeBron James,2023-24,3.19,-5.3,8.49,2507
2546,Carmelo Anthony,2021-22,-3.76,-2.23,-1.53,1791
2730,Dwight Howard,2021-22,-6.22,-1.84,-4.38,974
2738,Andre Iguodala,2021-22,9.98,4.82,5.15,596
2738,Andre Iguodala,2022-23,14.96,1.5,13.46,112
2772,Trevor Ariza,2021-22,-4.15,-2.75,-1.4,458
101108,Chris Paul,2021-22,10.29,5.97,4.32,2143
101108,Chris Paul,2022-23,2.12,3.66,-1.54,1889
101108,Chris Paul,2023-24,2.98,1.49,1.49,1535
101150,Lou Williams,2021-22,0.87,1.71,-0.84,801
200746,LaMarcus Aldridge,2021-22,0.25,0.27,-0.02,1058
200752,Rudy Gay,2021-22,8.12,5.48,2.64,1037
200752,Rudy Gay,2022-23,5.6,-2.11,7.7,820
200765,Rajon Rondo,2021-22,-6.65,0.28,-6.93,700
200768,Kyle Lowry,2023-24,-0.02,2.96,-2.97,1689
200782,P.J. Tucker,2022-23,4.21,5.5,-1.29,1920
200782,P.J. Tucker,2023-24,-0.62,4.05,-4.67,489
200794,Paul Millsap,2021-22,-4,1.19,-5.19,381
201142,Kevin Durant,2021-22,5.79,-5.67,11.46,2054
201142,Kevin Durant,2022-23,6.41,-1.42,7.83,1682
201142,Kevin Durant,2023-24,4.75,-1.18,5.93,2779
201143,Al Horford,2021-22,9.54,5.76,3.78,2007
201143,Al Horford,2022-23,9.16,6.51,2.65,1923
201143,Al Horford,2023-24,12.18,11.39,0.79,1739
201144,Mike Conley,2021-22,7.9,4.29,3.6,2059
201144,Mike Conley,2022-23,1.88,-0.92,2.8,2033
201144,Mike Conley,2023-24,5.91,7.5,-1.59,2186
