PLAYER_A_ID,PLAYER_B_ID,GROUP_NAME,MIN,DEF_SYNERGY,OFF_SYNERGY,NET_SYNERGY,W_NET_SYNERGY_SCALED,ARCHETYPE_A,ARCHETYPE_B
1627734,1631099,D. Sabonis - K. Murray,2256,0.7,-0.3,0.4,0.32,Elite Playmaker,Perimeter Scorer
203076,1630559,A. Davis - A. Reaves,1994,-1.2,0.25,-0.95,-0.76,Two-Way Big,Versatile Scorer
203484,1629008,K. Caldwell-Pope - M. Porter Jr.,1988,0.55,1.1,1.65,1.32,Perimeter Scorer,Perimeter Scorer
201572,203081,B. Lopez - D. Lillard,1950,2.55,-0.65,1.9,1.52,Two-Way Big,Elite Playmaker
1627832,1630224,F. VanVleet - J. Green,1936,-1,0.1,-0.9,-0.72,Elite Playmaker,Versatile Scorer
203497,1630162,R. Gobert - A. Edwards,1922,0.95,0.3,1.25,1,Two-Way Big,Elite Playmaker
1627734,1628368,D. Sabonis - D. Fox,1915,0.95,0.5,1.45,1.16,Elite Playmaker,Elite Playmaker
203484,203932,K. Caldwell-Pope - A. Gordon,1854,0.55,-0.1,0.45,0.36,Perimeter Scorer,Perimeter Scorer
201572,1627736,B. Lopez - M. Beasley,1844,0.75,-0.2,0.55,0.44,Two-Way Big,Perimeter Scorer
1628368,1631099,D. Fox - K. Murray,1824,1.15,0.1,1.25,1,Elite Playmaker,Perimeter Scorer
203081,1627736,D. Lillard - M. Beasley,1807,2,0.75,2.75,2.2,Elite Playmaker,Perimeter Scorer
1630532,1631094,F. Wagner - P. Banchero,1799,2.35,-2.8,-0.45,-0.36,Versatile Scorer,Versatile Scorer
203076,1626156,A. Davis - D. Russell,1785,1.35,-1,0.35,0.28,Two-Way Big,Elite Playmaker
1627832,1628415,F. VanVleet - D. Brooks,1783,0.5,0.2,0.7,0.56,Elite Playmaker,Bench / Role Player
203084,1628368,H. Barnes - D. Fox,1777,0.8,-0.45,0.35,0.28,Bench / Role Player,Elite Playmaker
201935,202331,J. Harden - P. George,1775,1.25,0.85,2.1,1.68,Elite Playmaker,Elite Playmaker
203991,1627749,C. Capela - D. Murray,1772,1.55,-0.65,0.9,0.72,Two-Way Big,Elite Playmaker
1628404,1628973,J. Hart - J. Brunson,1763,1.7,1.7,3.4,2.72,Defensive Wing,Elite Playmaker
203081,203507,D. Lillard - G. Antetokounmpo,1756,1.5,1.9,3.4,2.72,Elite Playmaker,Elite Playmaker
1630224,1631095,J. Green - J. Smith Jr.,1742,-1.3,-0.15,-1.45,-1.16,Versatile Scorer,Bench / Role Player
1628415,1630224,D. Brooks - J. Green,1737,-1.2,1.42E-14,-1.2,-0.96,Bench / Role Player,Versatile Scorer
1628969,1629651,M. Bridges - N. Claxton,1730,1.1,-2.3,-1.2,-0.96,Versatile Scorer,Two-Way Big
202699,1630178,T. Harris - T. Maxey,1727,0.5,1.45,1.95,1.56,Perimeter Scorer,Elite Playmaker
1630162,1630183,A. Edwards - J. McDaniels,1713,-1.65,-0.6,-2.25,-1.8,Elite Playmaker,Bench / Role Player
1628973,1628978,J. Brunson - D. DiVincenzo,1709,-1.2,1.65,0.45,0.36,Elite Playmaker,Perimeter Scorer
201942,1627936,D. DeRozan - A. Caruso,1692,2.1,-1.5,0.6,0.48,Elite Playmaker,Perimeter Scorer
1627832,1630578,F. VanVleet - A. Sengun,1675,1.5,0.55,2.05,1.64,Elite Playmaker,Elite Playmaker
203507,1627736,G. Antetokounmpo - M. Beasley,1659,2.6,0.35,2.95,2.36,Elite Playmaker,Perimeter Scorer
1630170,1631110,D. Vassell - J. Sochan,1653,1.6,-1.3,0.3,0.24,Perimeter Scorer,Versatile Scorer
201142,203994,K. Durant - J. Nurkic,1653,1,1,2,1.6,Elite Playmaker,Defensive Wing
202331,202695,P. George - K. Leonard,1635,2.5,1.55,4.05,3.24,Elite Playmaker,Elite Playmaker
1630224,1630578,J. Green - A. Sengun,1633,-0.9,0.45,-0.45,-0.36,Versatile Scorer,Elite Playmaker
1628983,1631096,S. Gilgeous-Alexander - C. Holmgren,1633,1.15,0.3,1.45,1.16,Elite Playmaker,Two-Way Big
1628970,1641706,M. Bridges - B. Miller,1619,-1.1,0.55,-0.55,-0.44,Versatile Scorer,Versatile Scorer
201935,202695,J. Harden - K. Leonard,1617,1.05,-0.8,0.25,0.2,Elite Playmaker,Elite Playmaker
2544,1626156,L. James - D. Russell,1610,2.45,-0.35,2.1,1.68,Elite Playmaker,Elite Playmaker
201942,1630245,D. DeRozan - A. Dosunmu,1603,1.95,-0.75,1.2,0.96,Elite Playmaker,Bench / Role Player
1628404,1628978,J. Hart - D. DiVincenzo,1601,1.5,-1.45,0.05,0.04,Defensive Wing,Perimeter Scorer
1627827,1628969,D. Finney-Smith - M. Bridges,1600,1.75,-0.5,1.25,1,Defensive Wing,Versatile Scorer
1627749,1630180,D. Murray - S. Bey,1595,-1,-0.8,-1.8,-1.44,Elite Playmaker,Perimeter Scorer
1628386,1629622,J. Allen - M. Strus,1594,1.6,1.3,2.9,2.32,Two-Way Big,Perimeter Scorer
1626167,1630169,M. Turner - T. Haliburton,1581,1.85,1.3,3.15,2.52,Two-Way Big,Elite Playmaker
203497,1630183,R. Gobert - J. McDaniels,1577,-1.1,-0.2,-1.3,-1.04,Two-Way Big,Bench / Role Player
203994,1628960,J. Nurkic - G. Allen,1575,1.6,1.35,2.95,2.36,Defensive Wing,Perimeter Scorer
203076,1627752,A. Davis - T. Prince,1504,1.15,-1.3,-0.15,-0.12,Two-Way Big,Bench / Role Player
202696,1630245,N. Vucevic - A. Dosunmu,1504,0.9,0.85,1.75,1.4,Versatile Scorer,Bench / Role Player
201572,203507,B. Lopez - G. Antetokounmpo,1501,2.95,1.65,4.6,3.68,Two-Way Big,Elite Playmaker
1628415,1631095,D. Brooks - J. Smith Jr.,1493,-2.8,0.25,-2.55,-2.04,Bench / Role Player,Bench / Role Player
202331,1627826,P. George - I. Zubac,1492,2.55,-2.05,0.5,0.4,Elite Playmaker,Two-Way Big
1626157,1630162,K. Towns - A. Edwards,1486,-0.9,2.55,1.65,1.32,Perimeter Scorer,Elite Playmaker
1630581,1631096,J. Giddey - C. Holmgren,1479,0.85,1.2,2.05,1.64,Versatile Scorer,Two-Way Big
201950,1627759,J. Holiday - J. Brown,1478,-0.95,-1.7,-2.65,-2.12,Bench / Role Player,Versatile Scorer
1629673,1630166,J. Poole - D. Avdija,1465,2.15,-0.45,1.7,1.36,Versatile Scorer,Perimeter Scorer
201939,203952,S. Curry - A. Wiggins,1457,1.1,0,1.1,0.88,Elite Playmaker,Bench / Role Player
1629627,1630529,Z. Williamson - H. Jones,1454,-1.1,-0.65,-1.75,-1.4,Elite Playmaker,Perimeter Scorer
1627936,1629632,A. Caruso - C. White,1453,2.9,-2.45,0.45,0.36,Perimeter Scorer,Versatile Scorer
1628969,1630560,M. Bridges - C. Thomas,1453,-1.3,-0.35,-1.65,-1.32,Versatile Scorer,Versatile Scorer
1628378,1629622,D. Mitchell - M. Strus,1438,1.35,1.2,2.55,2.04,Elite Playmaker,Perimeter Scorer
1627742,1630529,B. Ingram - H. Jones,1431,-0.7,-0.2,-0.9,-0.72,Versatile Scorer,Perimeter Scorer
203992,1627749,B. Bogdanovic - D. Murray,1428,2.65,-0.45,2.2,1.76,Perimeter Scorer,Elite Playmaker
201939,202691,S. Curry - K. Thompson,1427,-1.7,-1.05,-2.75,-2.2,Elite Playmaker,Bench / Role Player
203999,1627750,N. Jokic - J. Murray,1418,1.5,3.75,5.25,4.2,Elite Playmaker,Elite Playmaker
1629060,1630559,R. Hachimura - A. Reaves,1415,1.35,0.55,1.9,1.52,Perimeter Scorer,Versatile Scorer
1629652,1631114,L. Dort - J. Williams,1414,-0.5,-1.42E-14,-0.5,-0.4,Perimeter Scorer,Elite Playmaker
1627749,1629631,D. Murray - D. Hunter,1412,0.7,0.45,1.15,0.92,Elite Playmaker,Perimeter Scorer
202696,1627936,N. Vucevic - A. Caruso,1411,1.85,-2.6,-0.75,-0.6,Versatile Scorer,Perimeter Scorer
1628378,1628386,D. Mitchell - J. Allen,1407,1.45,0.6,2.05,1.64,Elite Playmaker,Two-Way Big
1626156,1630559,D. Russell - A. Reaves,1402,-1.25,0.15,-1.1,-0.88,Elite Playmaker,Versatile Scorer
201950,1628401,J. Holiday - D. White,1402,-0.6,-1.1,-1.7,-1.36,Bench / Role Player,Perimeter Scorer
1630532,1630591,F. Wagner - J. Suggs,1401,2.4,-1.65,0.75,0.6,Versatile Scorer,Perimeter Scorer
201144,1630183,M. Conley - J. McDaniels,1399,-0.6,-1.65,-2.25,-1.8,Perimeter Scorer,Bench / Role Player
203994,1626164,J. Nurkic - D. Booker,1396,0.5,1.1,1.6,1.28,Defensive Wing,Elite Playmaker
1628983,1631114,S. Gilgeous-Alexander - J. Williams,1396,1.6,0.65,2.25,1.8,Elite Playmaker,Elite Playmaker
1629632,1630245,C. White - A. Dosunmu,1388,-0.55,-0.3,-0.85,-0.68,Versatile Scorer,Bench / Role Player
