PLAYER_NAME,TEAM_ABBREVIATION,ARCHETYPE,COMPOSITE_SCORE_NORM,SALARY,VORPD
Victor Wembanyama,SAS,Elite Two-Way Big,95.39,11770308.0,6.2714
Shai Gilgeous-Alexander,OKC,Perimeter Playmaker,80.67,33729226.0,1.7521
Chet Holmgren,OKC,Elite Two-Way Big,73.4,12082222.0,4.2894
Andre Drummond,CHI,Rim Protector,71.96,4399497.0,11.4527
Jalen Duren,DET,Rim Protector,71.91,5704514.0,8.8239
Dereck Lively II,DAL,Rim Protector,68.16,4622428.0,10.0783
Walker Kessler,UTA,Elite Two-Way Big,67.2,4292974.0,10.6281
Alperen Sengun,HOU,Perimeter Playmaker,62.81,1119563.0,36.8322
Kevin Love,MIA,Stretch Big,59.3,3651582.0,10.3314
Jimmy Butler III,MIA,Perimeter Playmaker,57.29,1119563.0,31.9017
Scotty Pippen Jr.,MEM,Perimeter Playmaker,49.7,1998018.0,14.077
Bruce Brown,TOR,3-and-D Wing,42.43,2020490.0,10.3222
Robert Covington,PHI,Defensive Specialist,41.66,1119563.0,17.9409
Thaddeus Young,PHX,3-and-D Wing,40.77,1119563.0,17.146
Jordan Nwora,TOR,Bench / Fringe Player,34.75,1119563.0,11.7689
