PLAYER_NAME,TEAM_ABBREVIATION,ARCHETYPE,COMPOSITE_SCORE_NORM,SALARY,VORPD,AGE,DEF_RATING_ADJUSTED,OFF_RATING_ADJUSTED,FG3_PCT
Shai Gilgeous-Alexander,OKC,Elite Playmaker,89.05,33729226.0,2.1323,25,0.764402810304447,4.950702576112417,0.3634551886792452
Marcus Smart,MEM,Elite Playmaker,68.61,17528347.0,2.9371,30,1.3677536231884058,1.2905157715260018,0.3534600253807106
Jusuf Nurkić,PHX,Perimeter Scorer,66.78,17048050.0,2.9125,29,1.1741805188752512,5.542822743514052,0.3404728075170843
Victor Wembanyama,SAS,Two-Way Big,65.78,11770308.0,4.1335,20,2.373036652081768,0.0692857416666236,0.3447098385857033
Tre Jones,SAS,Defensive Wing,62.54,7039195.0,6.4513,24,1.893444671665533,2.5014314928425385,0.3575883977900552
De'Anthony Melton,PHI,Perimeter Scorer,61.92,2710900.0,16.5229,26,-0.5540106424911332,5.3512391604257,0.3678706641285956
Russell Westbrook,LAC,Versatile Scorer,60.87,2020490.0,21.6492,35,1.0200000000000042,0.9999014778325132,0.3362594860710855
Dennis Smith Jr.,BKN,Defensive Wing,57.65,3000000.0,13.5073,26,2.4811909650923947,-0.14941478439424,0.3509903111353711
Alperen Sengun,HOU,Elite Playmaker,55.53,3922440.0,9.7903,21,-2.531746810598631,1.2859666339548643,0.350833020889127
Scotty Pippen Jr.,MEM,Elite Playmaker,54.45,1998018.0,18.6795,23,-0.2565962418459741,-0.79092018074877,0.3835095051297525
Ausar Thompson,DET,Defensive Wing,52.48,7721117.0,4.5786,21,1.5575193388747504,0.9041209820785178,0.317122790573112
Tari Eason,HOU,Defensive Wing,52.22,4994103.0,7.0267,23,3.402633728052268,0.1468762760310316,0.3719808435286542
Tre Mann,CHA,Versatile Scorer,48.83,7039195.0,4.5036,23,0.785083624202994,0.5936950789992745,0.3738815551537071
Chet Holmgren,OKC,Two-Way Big,39.41,12082222.0,1.8442,22,1.171348083001234,2.5852480417754644,0.3718303134182175
Bones Hyland,LAC,Bench / Role Player,33.47,2020490.0,8.0881,23,1.3779375761071602,-5.023586489777607,0.3579462105798576
