PLAYER_NAME,TEAM_ABBREVIATION,ARCHETYPE,COMPOSITE_SCORE_NORM,SALARY,VORPD,AGE,DEF_RATING_ADJUSTED,OFF_RATING_ADJUSTED,FG3_PCT
Terry Rozier,MIA,Versatile Scorer,42.39,23443186.0,1.0776,30,-5.424916745487514,-1.0488506936233872,0.3673984596979213
Tyus Jones,WAS,Elite Playmaker,41.03,6159295.0,3.8806,28,-4.681791690107895,1.656351890364538,0.3940565326633165
Brandon Miller,CHA,Perimeter Scorer,38.62,10531339.0,2.0408,21,-3.155504860470617,2.1441874321533803,0.3734515083355386
Duop Reath,POR,Perimeter Scorer,36.24,1954852.0,9.7767,28,-1.2385842313680748,2.5629739968369503,0.3668867868462757
Bruce Brown,TOR,Versatile Scorer,35.42,2020490.0,9.0532,27,-3.603971411640938,4.859730200384561,0.3547044914448669
John Konchar,MEM,Defensive Wing,32.77,5424579.0,2.8835,28,-0.3504337421477714,0.111314247505761,0.3561108923884515
Buddy Hield,PHI,Bench / Role Player,32.16,8112243.0,1.853,31,-3.6740522040018098,2.329267902813304,0.3823441410009625
Dereck Lively II,DAL,Two-Way Big,30.45,4622428.0,2.882,20,-1.045536959553698,3.2627963737796315,0.3699023307479622
Gordon Hayward,OKC,Bench / Role Player,25.69,31500000.0,0.2718,34,-5.268735873161464,-2.1961558620237778,0.3838858726549176
Alec Burks,NYK,Bench / Role Player,17.17,10000000.0,0.0042,32,-4.021264223410745,-4.549804372016232,0.3752563559322034
Isaiah Livers,DET,Bench / Role Player,17.08,1119563.0,0.0,25,-4.962133718530747,-0.1984853487412282,0.3543573980351295
Nick Richards,CHA,Two-Way Big,13.8,4399497.0,0.0,26,-2.2708333985363267,-0.0045782931422172,0.3699023307479622
Bojan Bogdanovic,NYK,Bench / Role Player,11.69,18000000.0,0.0,35,-6.332278266691055,-3.2293469926319207,0.3876717256414557
Cedi Osman,SAS,Bench / Role Player,10.96,4000000.0,0.0,29,-3.631429864838649,-1.3009635905063717,0.3810969577814569
Doug McDermott,IND,Bench / Role Player,5.47,2020490.0,0.0,32,-3.266839264557464,-4.004352977313621,0.3910792210440457
