PLAYER_NAME,TEAM_ABBREVIATION,ARCHETYPE,COMPOSITE_SCORE_NORM,SALARY,VORPD,AGE,DEF_RATING_ADJUSTED,OFF_RATING_ADJUSTED,FG3_PCT
Shai Gilgeous-Alexander,OKC,Elite Playmaker,89.05,33729226.0,2.1323,25,0.764402810304447,4.950702576112417,0.3634551886792452
Luka Dončić,DAL,Elite Playmaker,87.48,40475071.0,1.7382,25,0.2939999999999952,2.960999999999993,0.3800052395209581
Jusuf Nurkić,PHX,Perimeter Scorer,66.78,17048050.0,2.9125,29,1.1741805188752512,5.542822743514052,0.3404728075170843
Victor Wembanyama,SAS,Two-Way Big,65.78,11770308.0,4.1335,20,2.373036652081768,0.0692857416666236,0.3447098385857033
Tre Jones,SAS,Defensive Wing,62.54,7039195.0,6.4513,24,1.893444671665533,2.5014314928425385,0.3575883977900552
De'Anthony Melton,PHI,Perimeter Scorer,61.92,2710900.0,16.5229,26,-0.5540106424911332,5.3512391604257,0.3678706641285956
Russell Westbrook,LAC,Versatile Scorer,60.87,2020490.0,21.6492,35,1.0200000000000042,0.9999014778325132,0.3362594860710855
Dennis Smith Jr.,BKN,Defensive Wing,57.65,3000000.0,13.5073,26,2.4811909650923947,-0.14941478439424,0.3509903111353711
Alperen Sengun,HOU,Elite Playmaker,55.53,3922440.0,9.7903,21,-2.531746810598631,1.2859666339548643,0.350833020889127
Kris Dunn,UTA,Perimeter Scorer,54.46,4774686.0,7.8187,30,1.087264595310839,3.453987022477345,0.3727110424502955
Scotty Pippen Jr.,MEM,Elite Playmaker,54.45,1998018.0,18.6795,23,-0.2565962418459741,-0.79092018074877,0.3835095051297525
Vasilije Micic,CHA,Versatile Scorer,51.77,2000000.0,17.321,30,0.3384528990593863,3.784894005334829,0.3385703125
Chris Paul,GSW,Versatile Scorer,51.72,2020490.0,17.1206,39,1.4107578911832626,-0.7053789455916258,0.3728371373720136
Jared Butler,WAS,Defensive Wing,50.43,2019706.0,16.4885,23,2.7604684788895337,-0.4852226720647822,0.3587095588235294
Skylar Mays,LAL,Bench / Role Player,31.89,1119563.0,13.1855,26,-0.4142174156747685,-4.2635827096178565,0.3610103767560664
