PLAYER_NAME,TEAM_ABBREVIATION,ARCHETYPE,COMPOSITE_SCORE_NORM,SALARY,VORPD,AGE,DEF_RATING_ADJUSTED,OFF_RATING_ADJUSTED,FG3_PCT
Victor Wembanyama,SAS,Two-Way Big,65.78,11770308.0,4.1335,20,2.373036652081768,0.0692857416666236,0.3447098385857033
De'Anthony Melton,PHI,Perimeter Scorer,61.92,2710900.0,16.5229,26,-0.5540106424911332,5.3512391604257,0.3678706641285956
Russell Westbrook,LAC,Versatile Scorer,60.87,2020490.0,21.6492,35,1.0200000000000042,0.9999014778325132,0.3362594860710855
Dennis Smith Jr.,BKN,Defensive Wing,57.65,3000000.0,13.5073,26,2.4811909650923947,-0.14941478439424,0.3509903111353711
Scotty Pippen Jr.,MEM,Elite Playmaker,54.45,1998018.0,18.6795,23,-0.2565962418459741,-0.79092018074877,0.3835095051297525
Vasilije Micic,CHA,Versatile Scorer,51.77,2000000.0,17.321,30,0.3384528990593863,3.784894005334829,0.3385703125
Chris Paul,GSW,Versatile Scorer,51.72,2020490.0,17.1206,39,1.4107578911832626,-0.7053789455916258,0.3728371373720136
Jared Butler,WAS,Defensive Wing,50.43,2019706.0,16.4885,23,2.7604684788895337,-0.4852226720647822,0.3587095588235294
Toumani Camara,POR,Defensive Wing,43.74,1954852.0,13.6133,24,2.7582148573580656,0.7110064965634146,0.359301724137931
Vince Williams Jr.,MEM,Perimeter Scorer,43.18,2025165.0,12.8641,23,0.2224886316659755,1.6752085207791303,0.3759513888888888
Jock Landale,HOU,Defensive Wing,39.6,2020490.0,11.1221,28,2.8674698795180724,1.5695624603677922,0.3580255681818182
Seth Curry,CHA,Defensive Wing,38.48,1544398.0,13.8255,33,4.295635673624288,2.370229812355043,0.367679054054054
Skylar Mays,LAL,Bench / Role Player,31.89,1119563.0,13.1855,26,-0.4142174156747685,-4.2635827096178565,0.3610103767560664
Dereck Lively II,DAL,Two-Way Big,30.45,4622428.0,2.882,20,-1.045536959553698,3.2627963737796315,0.3699023307479622
Kevin Knox II,POR,Bench / Role Player,29.78,1119563.0,11.3008,24,-1.1355088314509778,1.8062383127737367,0.3626381019830029
