Player Name,Team,Season,Archetype,Composite Score,Salary,Value Per Dollar (VORPD),Offensive Rating (Adjusted),Defensive Rating (Adjusted),ON/OFF Differential,Influence Score,True Shooting %,Blocks Per Game,Steals Per Game,Assist % (Adjusted),Three-Point %,Is Real Shooter,Salary ($M),Rank
Buddy Hield,PHI,2023-24,Perimeter Scorer,41.19,8112243.0,1.9395,2.8687500000000057,-4.525000000000006,-2.516438223417256,0.1074296722124858,0.5775788828628269,0.5,0.8,0.0065624999999999,0.386,1,8.11,206
Mikal Bridges,BKN,2022-23,Perimeter Scorer,50.79,19917648.0,1.2719,1.1133333333333295,0.0999999999999943,-1.293112985369268,0.1306458356705928,0.5858557653389811,0.7,1.1,0.0035333333333333,0.382,1,19.92,106
KJ Martin,HOU,2022-23,Perimeter Scorer,36.93,1017781.0,11.2735,2.3727272727272606,-1.6727272727272862,1.6490633635693308,0.0999800461137804,0.624875288211128,0.4,0.5,-0.0676363636363636,0.315,1,1.02,240
Isaiah Hartenstein,NYK,2022-23,Defensive Wing,40.22,22797308.0,0.6476,1.6333333333333258,1.9733333333333287,1.2046777063160847,0.060976860311539,0.569877199173262,0.8,0.6,-0.0570666666666666,0.216,1,22.8,203
Reggie Jackson,DEN,2023-24,Bench / Role Player,38.26,6900000.0,1.8557,-2.554545454545448,0.9636363636363684,-8.563076556585214,0.11076767905783,0.5299888950135409,0.1,0.5,0.082090909090909,0.359,1,6.9,239
Harrison Barnes,SAC,2022-23,Perimeter Scorer,40.82,15198206.0,1.0109,2.5272727272727167,-1.2181818181818187,4.298013352588089,0.1046747735834503,0.6230641284729186,0.1,0.7,-0.0822727272727272,0.374,1,15.2,199
Domantas Sabonis,SAC,2023-24,Elite Playmaker,54.31,37251419.0,0.7746,1.2999999999999972,-2.1000000000000085,-4.408657939955919,0.1384627816308011,0.6293762801400051,0.6,0.9,0.1862727272727272,0.379,1,37.25,78
Payton Pritchard,BOS,2023-24,Perimeter Scorer,46.84,6363558.0,3.3604,2.8499999999999943,-0.0285714285714249,1.7847176045081428,0.0995928588651668,0.5928146361021837,0.1,0.5,0.0744285714285714,0.385,1,6.36,149
Jordan Poole,GSW,2022-23,Versatile Scorer,47.34,25475564.0,0.859,-3.184615384615398,0.9384615384615388,-7.075329232499926,0.1616797831932262,0.5733325645149868,0.3,0.8,0.0759999999999999,0.336,1,25.48,135
Paul Reed,PHI,2023-24,Perimeter Scorer,42.54,4695050.0,3.6387,2.268749999999997,-0.8250000000000028,1.2746777063160846,0.0903026740887321,0.5788632954405906,1.0,0.8,-0.0414374999999999,0.368,1,4.7,192
Austin Reaves,LAL,2023-24,Versatile Scorer,44.83,12263662.0,1.5798,1.7153846153846075,-2.292307692307688,-5.625322293683915,0.1203467833639055,0.6078120371914422,0.3,0.8,0.0828461538461538,0.367,1,12.26,168
Bobby Portis,MIL,2023-24,Bench / Role Player,36.25,11830910.0,0.9124,0.5666666666666771,-1.7266666666666737,-5.544206363950575,0.1299615034534398,0.5801852832742851,0.4,0.8,-0.0729333333333333,0.407,1,11.83,264
Saddiq Bey,DET,2021-22,Versatile Scorer,42.05,4449412.0,3.7295,0.63333333333334,-2.0733333333333235,-3.8676009901586657,0.1113680899412352,0.5328616743599773,0.2,0.9,-0.0216,0.346,1,4.45,194
Deni Avdija,WAS,2021-22,Defensive Wing,44.86,10453345.0,1.8562,0.9066666666666664,2.1666666666666714,3.825760676673376,0.0855362169340901,0.5413684616081655,0.5,0.7,-0.0545999999999999,0.317,1,10.45,167
Tari Eason,HOU,2022-23,Defensive Wing,55.75,4540077.0,6.6726,0.3727272727272606,3.627272727272711,7.809063363569331,0.0983521779425393,0.5345227062094532,0.6,1.2,-0.0716363636363636,0.343,1,4.54,78
Dwight Powell,DAL,2021-22,Bench / Role Player,29.83,2908757.0,1.5037,3.671428571428564,-3.5142857142857054,-3.2941994251345648,0.0925814916857046,0.6807462623948873,0.5,0.5,-0.0659285714285714,0.351,1,2.91,332
Mikal Bridges,BKN,2023-24,Versatile Scorer,50.52,21909494.0,1.144,0.8800000000000097,-0.7466666666666697,-0.628690899331968,0.1336553005553117,0.5615768930895451,0.4,1.0,0.0112666666666666,0.372,1,21.91,112
